time,body_idx,position_vec,force_vec
0.4,BodyIndex(3),"[0.00833, -0.025, 0.0]","[7.740782946351054e-05, 0.000154949414578838, -1.6830986678603157e-06]"
0.4,BodyIndex(3),"[0.02499, -0.025, 0.0]","[0.00016414640065618883, 0.00032857643552567804, -3.5690780918838553e-06]"
0.45,BodyIndex(3),"[0.00833, -0.025, 0.0]","[3.4642854542198423e-06, -5.61664270784442e-06, -8.059515069791714e-08]"
0.45,BodyIndex(3),"[0.02499, -0.025, 0.0]","[1.9241632021179323e-06, -3.119643967189207e-06, -4.4764851306690374e-08]"
0.5,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-4.11981983304912e-05, -9.168262560879098e-05, 1.1583418116396026e-06]"
0.5,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-0.00012169218554898006, -0.00027081424769357477, 3.421536678385799e-06]"
0.55,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-8.726714151517674e-06, 6.986897367437088e-05, 4.932444458591943e-07]"
0.55,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-5.0609521848323684e-05, 0.0004051966511448148, 2.8605114279965127e-06]"
0.6000000000000001,BodyIndex(3),"[0.00833, -0.025, 0.0]","[1.5775322711630534e-05, -6.94056925715357e-05, -1.7690636054417618e-07]"
0.6000000000000001,BodyIndex(3),"[0.02499, -0.025, 0.0]","[8.311574206427764e-05, -0.00036567908923443255, -9.320698981124095e-07]"
0.65,BodyIndex(3),"[0.00833, -0.025, 0.0]","[7.770230852583697e-05, 0.00014837289055726378, -1.734581637350688e-06]"
0.65,BodyIndex(3),"[0.02499, -0.025, 0.0]","[0.00015488151737154344, 0.0002957469200373855, -3.4574858983547436e-06]"
0.7000000000000001,BodyIndex(3),"[0.00833, -0.025, 0.0]","[5.270362615885111e-06, -8.612621055269335e-06, -1.2217950089691028e-07]"
0.7000000000000001,BodyIndex(3),"[0.02499, -0.025, 0.0]","[1.7553987192485486e-06, -2.8686041306199272e-06, -4.069430417300503e-08]"
0.75,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-3.931783473886154e-05, -9.360467068968193e-05, 1.1433766494772252e-06]"
0.75,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-0.00012425119002532525, -0.0002958070250401186, 3.6132688966286645e-06]"
0.8,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-7.053982068037189e-06, 7.974924373746653e-05, 5.080868532978551e-07]"
0.8,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-3.873013984244762e-05, 0.00043786606380486127, 2.789668968610051e-06]"
0.8500000000000001,BodyIndex(3),"[0.00833, -0.025, 0.0]","[1.6762690719791808e-05, -6.387490942716527e-05, -2.3340586837860934e-07]"
0.8500000000000001,BodyIndex(3),"[0.02499, -0.025, 0.0]","[8.805593898942191e-05, -0.00033554070891687806, -1.2261022558540132e-06]"
0.9,BodyIndex(3),"[0.00833, -0.025, 0.0]","[7.713282282510377e-05, 0.00014138635008371515, -1.7586187084167403e-06]"
0.9,BodyIndex(3),"[0.02499, -0.025, 0.0]","[0.00014398151818645097, 0.0002639216430864103, -3.2827605975614336e-06]"
0.9500000000000001,BodyIndex(3),"[0.00833, -0.025, 0.0]","[7.247175480922387e-06, -1.2002581125918304e-05, -1.6763551912898084e-07]"
0.9500000000000001,BodyIndex(3),"[0.02499, -0.025, 0.0]","[1.5138498156687986e-06, -2.507198186776708e-06, -3.501709050663855e-08]"
1.0,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-3.6707719025097864e-05, -9.428854749227492e-05, 1.108519820797086e-06]"
1.0,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-0.0001242149278818035, -0.00031906218740601004, 3.751110481741317e-06]"
1.05,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-4.748253001125221e-06, 9.159094728446962e-05, 5.170395337166821e-07]"
1.05,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-2.4446607881139047e-05, 0.00047156037666798645, 2.6620027906734033e-06]"
1.1,BodyIndex(3),"[0.00833, -0.025, 0.0]","[1.8046701676978947e-05, -6.077310824651527e-05, -2.8791528370828343e-07]"
1.1,BodyIndex(3),"[0.02499, -0.025, 0.0]","[9.206031522187799e-05, -0.000310017398321846, -1.4687211131324074e-06]"
1.1500000000000001,BodyIndex(3),"[0.00833, -0.025, 0.0]","[7.562450839671665e-05, 0.0001338734648053935, -1.7523677473547714e-06]"
1.1500000000000001,BodyIndex(3),"[0.02499, -0.025, 0.0]","[0.00013166593636820982, 0.00023308019413484222, -3.0509572254876824e-06]"
1.2000000000000002,BodyIndex(3),"[0.00833, -0.025, 0.0]","[9.234354908980051e-06, -1.558554216445829e-05, -2.1345963664509167e-07]"
1.2000000000000002,BodyIndex(3),"[0.02499, -0.025, 0.0]","[1.1998300150690066e-06, -2.025046846732694e-06, -2.7735048260213917e-08]"
1.25,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-3.351615250043944e-05, -9.378640640343734e-05, 1.0559300059788927e-06]"
1.25,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-0.00012156558743779123, -0.0003401702981260693, 3.829936967506384e-06]"
1.3,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-1.5977841282179738e-06, 0.0001055474717092748, 5.151398520058233e-07]"
1.3,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-7.658200631655661e-06, 0.0005058904392892776, 2.4690721796203794e-06]"
1.35,BodyIndex(3),"[0.00833, -0.025, 0.0]","[1.9804768046221066e-05, -5.98833446137358e-05, -3.46906024944692e-07]"
1.35,BodyIndex(3),"[0.02499, -0.025, 0.0]","[9.552718153635815e-05, -0.00028884393488325436, -1.6732816432692935e-06]"
1.4000000000000001,BodyIndex(3),"[0.00833, -0.025, 0.0]","[7.308477889220688e-05, 0.00012567667691958383, -1.7124643217102348e-06]"
1.4000000000000001,BodyIndex(3),"[0.02499, -0.025, 0.0]","[0.0001181306461924271, 0.00020313760650113153, -2.767943202010252e-06]"
1.4500000000000002,BodyIndex(3),"[0.00833, -0.025, 0.0]","[1.1062551754197844e-05, -1.9134133754509252e-05, -2.5601913907815503e-07]"
1.4500000000000002,BodyIndex(3),"[0.02499, -0.025, 0.0]","[8.344571460481438e-07, -1.4433030461378392e-06, -1.931172887374673e-08]"
1.5,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-2.9914824625735638e-05, -9.222009798014478e-05, 9.886891485112646e-07]"
1.5,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-0.00011639611906327758, -0.00035882080670095504, 3.846908056003947e-06]"
1.55,BodyIndex(3),"[0.00833, -0.025, 0.0]","[2.629184006225161e-06, 0.00012174379319879955, 4.964267405389994e-07]"
1.55,BodyIndex(3),"[0.02499, -0.025, 0.0]","[1.1671200663495691e-05, 0.0005404324066303587, 2.203686044733831e-06]"
